City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,21.17,90,100,2.06,US,1680888967
1,pangai,-19.8,-174.35,25.06,94,20,1.03,TO,1680888997
2,vaini,-21.2,-175.2,25.09,100,75,2.06,TO,1680888997
3,kamaishi,39.2667,141.8833,11.45,92,100,1.42,JP,1680888998
4,khatanga,71.9667,102.5,-20.42,97,100,6.01,RU,1680888998
5,longyearbyen,78.2186,15.6401,-8.09,73,75,8.75,SJ,1680888999
6,hermanus,-34.4187,19.2345,14.33,79,100,2.72,ZA,1680888999
7,ushuaia,-54.8,-68.3,9.79,70,40,6.69,AR,1680888979
8,klaksvik,62.2266,-6.589,8.51,87,25,8.52,FO,1680889000
9,esperance,-33.8667,121.9,15.21,76,93,4.88,AU,1680889000
10,liuzhou,24.3126,109.3892,17.89,54,94,6.19,CN,1680889001
11,puerto escondido,15.85,-97.0667,29.46,79,20,3.6,MX,1680889001
12,puerto ayora,-0.7393,-90.3518,29.98,87,100,4.02,EC,1680889002
13,thompson,55.7435,-97.8558,4.09,30,20,5.66,CA,1680889002
14,damietta,31.4165,31.8133,17.64,83,43,7.01,EG,1680888842
15,antalaha,-14.9003,50.2788,25.78,84,100,4.65,MG,1680888987
16,nokaneng,-19.6667,22.2667,26.56,33,50,2.1,BW,1680889004
17,rikitea,-23.1203,-134.9692,25.19,65,48,5.24,PF,1680889004
18,namibe,-15.1961,12.1522,24.15,78,91,4.15,AO,1680889004
19,upernavik,72.7868,-56.1549,-24.85,91,75,4.85,GL,1680889005
20,olafsvik,64.8945,-23.7142,6.69,84,100,11.87,IS,1680889005
21,mwense,-10.3845,28.698,19.42,96,65,1.97,ZM,1680889006
22,kapaa,22.0752,-159.319,23.18,86,75,6.17,US,1680889006
23,cape town,-33.9258,18.4232,16.72,84,75,5.14,ZA,1680888620
24,worland,44.0169,-107.9554,10.88,37,0,4.02,US,1680889007
25,vila do maio,15.1333,-23.2167,27.44,75,81,6.55,CV,1680889008
26,kununurra,-15.7667,128.7333,26.99,83,100,0.0,AU,1680889008
27,saint george,37.1041,-113.5841,15.8,25,0,3.6,US,1680888863
28,cabo san lucas,22.8909,-109.9124,29.23,36,0,1.54,MX,1680889009
29,portland,45.5234,-122.6762,12.35,90,100,3.58,US,1680888587
30,east london,-33.0153,27.9116,21.52,78,40,5.66,ZA,1680889000
31,atuona,-9.8,-139.0333,27.31,70,75,8.69,PF,1680889011
32,dingle,10.9995,122.6711,23.16,85,13,2.19,PH,1680889011
33,ribeira grande,38.5167,-28.7,14.32,54,40,6.17,PT,1680889011
34,magadan,59.5667,150.8,-17.01,97,82,2.37,RU,1680889012
35,faanui,-16.4833,-151.75,28.64,76,89,9.03,PF,1680889012
36,cidreira,-30.1811,-50.2056,20.63,75,100,3.85,BR,1680889013
37,sao joao da barra,-21.6403,-41.0511,30.05,75,21,4.49,BR,1680889013
38,punta arenas,-53.15,-70.9167,6.06,81,100,12.86,CL,1680888740
39,busselton,-33.65,115.3333,13.65,75,65,5.31,AU,1680889014
40,ajaccio,42.0,8.9167,15.03,72,20,3.6,FR,1680888892
41,pevek,69.7008,170.3133,-31.4,98,77,1.72,RU,1680889015
42,mataura,-46.1927,168.8643,3.19,97,10,1.28,NZ,1680889015
43,touros,-5.1989,-35.4608,27.92,76,92,6.56,BR,1680888760
44,machali,-34.1833,-70.6667,26.6,29,0,3.6,CL,1680889017
45,kovdor,67.5662,30.4758,0.58,92,100,4.34,RU,1680889017
46,kruisfontein,-34.0033,24.7314,17.16,90,14,4.69,ZA,1680889018
47,seymchan,62.8833,152.4333,-20.8,100,96,0.56,RU,1680889018
48,smithers,54.7804,-127.1743,7.18,57,75,3.09,CA,1680889019
49,tinyahuarco,-10.75,-76.3,8.69,69,99,4.33,PE,1680889019
50,carnarvon,-24.8667,113.6333,21.53,59,0,5.66,AU,1680889020
51,kaeo,-35.1,173.7833,15.74,83,97,4.29,NZ,1680889020
52,kargil,34.5667,76.1,-5.77,68,53,1.83,IN,1680889021
53,souillac,-20.5167,57.5167,26.21,83,75,3.09,MU,1680889021
54,manggar,-2.8833,108.2667,25.32,82,100,1.74,ID,1680889022
55,laguna de perlas,12.3429,-83.6712,26.05,66,86,4.98,NI,1680889022
56,naze,28.3667,129.4833,15.51,64,88,7.92,JP,1680889023
57,lasa,46.6166,10.7002,10.49,89,100,1.14,IT,1680889024
58,pedernales,18.0384,-71.744,27.05,58,6,3.63,DO,1680889024
59,tuktoyaktuk,69.4541,-133.0374,-13.0,85,100,4.12,CA,1680889025
60,cherskiy,68.75,161.3,-27.45,100,100,2.04,RU,1680889026
61,hengyang,26.8881,112.615,15.38,73,76,1.75,CN,1680889026
62,rawson,-43.3002,-65.1023,14.49,44,100,4.89,AR,1680889027
63,san pedro de macoris,18.4616,-69.2972,23.07,65,22,5.01,DO,1680889027
64,matagami,49.7502,-77.6328,-5.94,38,0,7.72,CA,1680889028
65,yellowknife,62.456,-114.3525,3.29,60,75,10.29,CA,1680889029
66,vila velha,-20.3297,-40.2925,28.97,83,40,4.63,BR,1680889029
67,port alfred,-33.5906,26.891,20.1,79,56,2.24,ZA,1680888759
68,saskylakh,71.9167,114.0833,-19.23,96,100,5.57,RU,1680889030
69,kiama,-34.6833,150.8667,16.81,75,42,3.13,AU,1680889031
70,vanavara,60.34,102.2797,-21.19,91,57,3.48,RU,1680889031
71,georgetown,5.4112,100.3354,28.96,83,20,3.6,MY,1680888963
72,carutapera,-1.195,-46.02,26.56,86,93,3.18,BR,1680889032
73,albany,42.6001,-73.9662,8.29,43,90,1.34,US,1680888816
74,airai,-8.9266,125.4092,14.83,85,100,0.83,TL,1680889033
75,butaritari,3.0707,172.7902,27.23,82,100,7.82,KI,1680889033
76,san quintin,30.4833,-115.95,17.6,52,78,4.03,MX,1680889034
77,napier,-39.4833,176.9167,11.27,85,100,2.24,NZ,1680888865
